jarro2783/cxxopts,4.3,5,5,2
zauonlok/renderer,5.3,2,195,8
jgaeddert/liquid-dsp,4.3,44,624,7
gnif/LookingGlass,4.3,0,588,176
projectchrono/chrono,5.3,79,2959,210
CppCon/CppCon2016,4.3,0,8,0
uncrustify/uncrustify,4.3,0,676,148
openvswitch/ovs,4.3,70,6428,444
Blizzard/s2client-api,5.3,58,3695,335
espressif/ESP8266_RTOS_SDK,5.3,0,6,0
richgel999/miniz,5.3,5,137,26
openvinotoolkit/openvino,4.3,8,1761,374
RedisGraph/RedisGraph,4.3,3,1606,52
embree/embree,4.3,2,269,23
benhoyt/inih,4.3,0,15,1
googleprojectzero/winafl,5.3,0,151,38
prusa3d/Prusa-Firmware,5.3,0,766,55
wenet-e2e/wenet,5.3,12,2198,202
Corvusoft/restbed,5.3,0,386,203
davidmoreno/onion,4.3,48,440,83
vivien/i3blocks,4.3,4,117,3
TsudaKageyu/minhook,4.3,0,16,2
mixxxdj/mixxx,4.3,5,229,19
OGRECave/ogre,4.3,2,1647,93
Dav1dde/glad,4.3,0,25,2
fukuchi/libqrencode,4.3,2,166,9
biometrics/openbr,5.3,0,1,0
iNavFlight/inav,4.3,18,157,7
loki-47-6F-64/sunshine,4.3,0,123,17
zrax/pycdc,4.3,5,64,11
WAVM/WAVM,5.3,53,3820,185
pond3r/ggpo,4.3,0,95,7
CLIUtils/CLI11,4.3,1,18,3
SanderMertens/flecs,5.3,15,4186,752
stepmania/stepmania,4.7,24,1890,296
openvenues/libpostal,4.3,138,1082,167
fastos/fastsocket,4.3,0,36,0
Cisco-Talos/pyrebox,4.3,102,1062,252
k4zmu2a/SpaceCadetPinball,4.3,18,1305,143
kokke/tiny-AES-c,4.3,0,12,0
projectM-visualizer/projectm,4.3,56,573,63
blechschmidt/massdns,4.3,4,56,6
LongSoft/UEFITool,5.3,5,520,49
stephane/libmodbus,4.3,4,106,8
wiredtiger/wiredtiger,5.3,38,3554,1255
mit-biomimetics/Cheetah-Software,4.3,169,380,4
fholger/openvr_fsr,5.3,2,645,30
olikraus/u8g2,4.3,19,649,10
wenet-e2e/wenet,5.3,12,2198,202
GStreamer/gstreamer,5.3,75,14349,3038
sustrik/libmill,4.3,20,337,22
Tencent/sluaunreal,5.3,10,742,15
johang/btfs,4.3,1,32,0
fastos/fastsocket,4.3,0,36,0
NixOS/patchelf,4.3,0,43,10
pbek/QOwnNotes,4.3,4,689,73
simbody/simbody,5.3,23,967,77
util-linux/util-linux,5.3,98,4028,597
yshui/picom,4.3,10,477,107
karlstav/cava,4.3,33,48,13
bitcoin-core/secp256k1,4.3,12,242,65
FASTSHIFT/X-TRACK,4.3,5,1346,191
zlgopen/awtk,5.3,17,1966,279
jrouwe/JoltPhysics,4.3,11,1331,179
LukasBanana/LLGL,4.3,3,991,27
kcat/openal-soft,4.3,0,865,118
warmcat/libwebsockets,4.9,19,1189,150
lede-project/source,5.3,5,104,9
libjpeg-turbo/libjpeg-turbo,4.3,58,725,129
KhronosGroup/Vulkan-Hpp,4.3,0,435,80
zeux/pugixml,4.3,0,430,30
pbek/QOwnNotes,4.3,4,689,73
TH3xACE/SUDO_KILLER,4.3,16,838,200
yandex/odyssey,4.3,0,166,2
heavyai/heavydb,4.3,0,74,10
microsoft/msquic,4.3,0,683,128
openjdk/jfx,4.3,11,1114,317
bombela/backward-cpp,4.3,1,5,0
karlstav/cava,4.3,33,48,13
google/highway,4.3,2,126,12
nesbox/TIC-80,4.3,101,4984,606
xiph/rnnoise,4.3,8,45,6
ntop/PF_RING,5.3,13,1594,280
maharmstone/quibble,4.5,1,483,86
ShadowsocksR-Live/shadowsocksr-native,5.3,47,2545,260
lexborisov/myhtml,5.3,6,607,43
KhronosGroup/Vulkan-Samples,4.3,0,1,0
kungfu-origin/kungfu,4.3,34,1616,180
saki4510t/UVCCamera,4.3,36,549,104
CloudCompare/CloudCompare,4.3,75,974,221
HarbourMasters/Shipwright,5.3,219,1434,148
simd-everywhere/simde,4.3,4,15420,805
aappleby/smhasher,4.3,0,101,3
dev-cafe/cmake-cookbook,4.3,5,55,2
nanocurrency/nano-node,4.3,18,1258,194
guanzhi/GmSSL,4.3,25,1573,249
RfidResearchGroup/proxmark3,5.3,503,8466,1026
Vita3K/Vita3K,5.3,40,3129,494
azerothcore/azerothcore-wotlk,4.3,46,1304,181
xiph/opus,4.3,28,449,102
LibreSprite/LibreSprite,4.3,0,527,56
signalwire/freeswitch,4.3,4,2821,322
Roblox/luau,4.3,12,4418,668
apache/incubator-kvrocks,4.3,0,1469,168
rizonesoft/Notepad3,4.3,0,105,10
Aloshi/EmulationStation,4.3,31,480,27
gsliepen/tinc,5.3,9,786,101
clab/dynet,5.3,0,327,0
facebook/mysql-5.6,4.7,57,1059,93
lbryio/lbrycrd,4.3,12,154,35
winscp/winscp,5.3,7,613,29
WolfireGames/overgrowth,4.3,161,4065,779
chriskohlhoff/asio,4.3,2,379,122
riscv-software-src/riscv-isa-sim,4.3,9,1661,848
openvinotoolkit/openvino,4.3,8,1783,334
acassen/keepalived,4.3,100,1363,170
immortalwrt/immortalwrt,5.3,5,104,9
andrewrk/libsoundio,4.3,2,128,10
Grive/grive,4.3,0,4,0
asmjit/asmjit,5.3,0,434,78
twitter/ios-twitter-image-pipeline,4.9,1,1300,119
srdja/Collections-C,4.3,0,255,5
zhaojh329/rtty,4.3,9,95,18
guanzhi/GmSSL,4.3,24,1573,251
chriskohlhoff/asio,4.3,2,347,108
emilk/loguru,5.3,4,26,6
microsoft/verona,4.3,4,114,15
cubefs/cubefs,4.3,4,857,63
F-Stack/f-stack,4.7,180,8332,754
qt-creator/qt-creator,4.7,0,1,0
farbrausch/fr_public,4.3,3,28,3
khizmax/libcds,4.3,0,43,2
jpd002/Play-,4.3,120,11220,1074
Kobzol/hardware-effects,4.3,2,34,1
nesbox/TIC-80,4.3,107,7470,801
ericniebler/range-v3,5.3,0,128,9
schwabe/ics-openvpn,4.7,9,107,24
arrayfire/arrayfire,4.3,4,120,14
microsoft/ShaderConductor,5.3,8,12820,1535
patriciogonzalezvivo/glslViewer,4.3,11,131,13
xiph/rnnoise,4.3,8,45,6
ppwwyyxx/OpenPano,4.3,53,280,37
ndrplz/self-driving-car,4.3,9,175,17
GarageGames/Torque2D,4.3,25,142,19
Hopson97/MineCraft-One-Week-Challenge,4.3,1,125,3
lc-soft/LCUI,4.3,69,1001,45
nanocurrency/nano-node,4.3,18,925,111
ketoo/NoahGameFrame,4.3,30,2544,211
abishekvashok/cmatrix,4.3,4,6,1
TheTumultuousUnicornOfDarkness/CPU-X,5.3,14,331,26
meganz/MEGAcmd,5.3,6,3064,401
idealvin/coost,4.3,8,390,41
harfbuzz/harfbuzz,5.3,10,603,45
neurobin/shc,4.3,8,15,2
keystone-engine/keystone,4.3,35,2326,155
openvswitch/ovs,4.3,100,8287,564
gaoxiang12/slambook2,4.3,0,4,0
jacksonliam/mjpg-streamer,4.3,26,82,17
fragglet/c-algorithms,4.3,4,148,1
sustrik/libdill,4.3,21,521,43
CLIUtils/CLI11,4.3,1,52,16
danielkrupinski/Osiris,4.3,10,1187,166
openbsd/src,4.3,29,3326,199
MultiMC/Launcher,4.3,1,109,14
PowerDNS/pdns,4.3,28,2525,363
yse/easy_profiler,5.3,1,110,8
cnr-isti-vclab/meshlab,4.3,226,3925,433
generalized-intelligence/GAAS,5.3,114,934,210
otya128/winevdm,5.3,0,1433,214
TASEmulators/desmume,4.3,109,5740,635
MRPT/mrpt,4.9,0,45,2
dfranx/SHADERed,5.3,153,2874,513
gflags/gflags,4.3,0,76,6
PixarAnimationStudios/OpenSubdiv,4.3,34,754,78
kungfu-origin/kungfu,4.3,34,1616,180
lastpass/lastpass-cli,4.3,3,301,20
opentoonz/opentoonz,4.3,48,2175,375
alibaba/GCanvas,4.3,28,400,32
rime/librime,4.3,0,2,0
boostorg/beast,4.3,12,973,262
homenc/HElib,4.3,17,749,43
dblalock/bolt,4.3,5,65,17
google/orbit,4.3,19,1134,89
uber/h3,4.3,0,336,65
xemu-project/xemu,4.3,0,91,10
stellar/stellar-core,4.3,25,662,233
RuntimeCompiledCPlusPlus/RuntimeCompiledCPlusPlus,5.3,3,61,8
